SUBJECT,COMPETENCIES,SUB BLOCKS,1,2,3,4,5,6
ENGLISH,Communicates orally in English,Phonics,Stress patterns in compound nouns,Tongue twisters,Repetition drills,Stress patterns in compound nouns,Tongue twisters,Repetition drills
,,Vocabulary Development,Oral presentations on past activities using past tense verbs,Interactive storytelling,Oral presentations on past activities using past tense verbs,Interactive storytelling,Oral presentations on past activities using past tense verbs,Interactive storytelling
,,Listening Skills,Listening to and noting details from a conversation between native speakers,Main idea summaries,Listening to and noting details from a conversation between native speakers,Main idea summaries,Listening to and noting details from a conversation between native speakers,Main idea summaries
,,Speaking Skills,Using past tense prompts,TEDTalk presentations (3min),Short 2 minute discussions on recent event in small groups,TEDTalk presentations (3min),Poem Recitation (3 stanzas),TEDTalk presentations (3min)
,Reads diverse types of written texts in English,Textual Comprehension,Informal letters and emails.,Informal letters and emails.,Read simple articles,Read simple articles,Read simple narratives,Read simple narratives
,,Reading Skills,Descriptive texts,Gist of nonfiction,Plots in stories,Plot in stories,Predict outcomes in texts.,"Opinions on texts (reviews, opinions)."
,,Reading Plan,Holes,,Diary of a Wimpy Kid,,A Wrinkle in Time,
,Writes diverse types of texts in English ,Text types,Similarities and differences paragraphs,"Formal Letters: 200-250 words, addressing specific audiences.",Medium complexity texts focusing on developing coherence and cohesion.,"Book Reviews: 250-300 words, expressing opinions on literature.",Medium complexity texts focusing on developing coherence and cohesion.,"Descriptive Compositions: 300-350 words, using sensory details."
,,Idea development and process,Detailed outline frameworks,Mind maps,Drafting with complex sentences,Paragraph development,Revising for improved structure and vocabulary usage,Peer editing to refine ideas
,,Language conventions,Reflexive pronouns,Relative clauses,Hyphenation,Paster Perfect Tense,Past Perfect Tense,Parentheses
,,Writing Reflection,Connectors to improve text meaning,Vocabulary and connectors to improve text meaning,Vocabulary to improve text meaning,Orthography to improve text meaning,Coherence to improve text meaning,Coherence to improve text meaning
COMUNICACIÓN,Se comunica oralmente en su lengua materna,Producciones orales,Exposición: Vocalización y uso de recursos no verbales (paraverbales),Declamación: soneto,Exposición: coherencia y vocabulario formal.,,Argumentación: monólogo,Charla TED: argumentativa
,Lee diversos tipos de texto escritos en su lengua materna,Literatura,,Figuras literarias,,Género Narrativo,Estructuras narrativas: Lineal y no lineal,
,,Técnicas y estrategias,Tonos de textos,,Inferencias,Resumen,Propósito del texto,Críticas particulares del texto
,,Lectura de obras,La palabra del mudo 2 (Julio Ramón Ribeyro),El amigo Braulio (Manuel González Prada),El avaro (Moliere),Cuentos de Lima criolla (varios autores),La vida es sueño (Pedro Calderón de la Barca),La aldea encantada (A. Valdelomar)
,Escribe diversos tipos de texto en su lengua materna,Organizadores gráficos,Citas y referencias APA,,,Mapa mental,Línea de tiempo,Mapa conceptual
,,Productos escritos,Texto expositivo secuencial,Soneto,Texto expositivo enumerativo,Historieta,Cuento breve,Texto argumentativo
,,Gramática y ortografía,Lenguaje: lengua y habla ,El sujeto y el predicado,"Oración, frase y construcción","Uso de punto, coma y punto y coma",Uso de grafías,
MATHEMATICS,Solves problems involving quantity,Aritmética: Conjuntos numéricos ,Aritmética: Sistema de numeración y civilizaciones antiguas ,Algebra: Expresiones algebráicas (va),Ecuaciones e Inecuaciones,"Perímetro, área y volumen","Estadística: recolección de datos, mediana, media y moda",Probabilidad Regla de La Place
,,,Fracciones ,Patrones y modelos (va),series y sucesiones aritméticas,Sólidos geométricos,Análisis de gráficos estadísticos,
,,,Porcentajes ,Expresiones algebráicas y evaluación,Construcciones geométricas,,Gestión de datos,
,,,,Expansión y factorización,"Ángulos, líneas y paralelismo",,,
,,,Números decimales,"Ángulos, líneas y paralelismo","Polígonos, circunferencia y el círculo",,,
,,,"Unidades de medida, longitud y tiempo",,,,,
,,,Números positivos y negativos,,,,,
,,,Propiedades de números,,,,,
,"Solves problems involving patterns, equivalence and change",Algebra: Expresiones algebráicas,,,,,,
,,,,,,,,
,,,,,,,,
,,,"

",,,,,
,"Solves problems involving shape, movement, and location",Formas en 2D y 3D,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Solves problems involving data management and uncertainty,Estadística y probabilidad,"
",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SCIENCE AND TECHNOLOGY,Inquires using scientific methods to construct knowledge,scientific methodology,,,,,,
,,experiments,,,,,,
,,research skills,,,,,,
,,science ethics,,,,,,
,,critical thinking,,,,,,
,"Explains the physical world based on knowledge of living beings, matter and energy, biodiversity, Earth and the universe",Human Body,"1. Anatomy and Physiology: Human body organization (from cells to organ systems), and homeostasis 
2. Human health (align with health and well-being PE) and nutrition.
3. Human senses, how they work, and the role they play in perceiving the world.
",,"4. Reproduction and Development. ,sexual health, puberty, adolescence. (Aligned with PE)",,,
,,Living Beings,1. Characteristics of life (MRS GREN),"1. Theory of evolution. 2. Evidence from fossil records,} 3. Comparative anatomy, and molecular biology: How life on Earth has evolved and diversified.",,,,
,,Genetics and Heredity:,,"1. Genes, chromosomes. 2. How traits are inherited from parents, including the inheritance of traits, genetic disorders, and the role of DNA.",,,,
,,Cells,Plant and animal cell structure,,"1. Cell structures: Cell Transport, 2. Photosynthesis and cellular respiration. 3. Cell division.",,,
,,Plants,,,"1. Sexual and asexual reproduction in plants. 2. Advantages and disadvantages. Examples. 3. Mutualistic and antagonistic plant-animal interactions. 4. Concept of coevolution. Examples (orchids/pollinators, plants with extrafloral nectar/ants).", ,,
,,Animals,,"  
         
1. Animal classification (viviparous and oviparous
         
"," 
    ",,,
,,Reproduction,,,,,,
,,Nutrition,1. Energy in Food,,1. Plants nutrition,,,
,,Solar System,,,,"1.. The Solar System. Sun, planets, moons, and other celestial objects. (Aligned with Math). 2. Stars and Galaxies, different types of stars, galaxies, and their characteristics. 3. The universe's origin, expansion, and cosmic phenomena.",,
,,Earth,,,,,"1. Earth's internal structure. The theory of plate tectonics. (Aligned with Math) 2. Seismic activity and volcanic eruptions, their causes, and the impact on Earth's surface. 3. The study of different types of rocks (igneous, sedimentary, and metamorphic) and minerals, their formation, properties, and uses. 4. Weathering and erosion processes shape the Earth's surface, the formation of landforms. 5. The geologic time scale and how Earth's history is divided into eons, eras, and periods. 6. Fossil record and fossil formation.",
,,Ecosystem,,,,,,"1. Ecosystems and biomes, including their characteristics, biodiversity, and the relationships between organisms and their environments. 2. The flow of energy and matter through ecosystems, understanding how organisms are interconnected in food chains and food webs."
,,Enviroment,,,,,,"-Basic principles of climate and weather are covered, including the factors influencing climate, weather patterns, and climate change. -Human Impact on the environment. -The importance of biodiversity and the threats to it, including habitat loss and invasive species. -Conservation and sustainability, discussing ways to protect natural resources and reduce environmental impact. -Renewable and nonrenewable resources."
,,Matter,,,,"1. Properties of elements and compounds. 2. Studying the behavior of gases, liquids, and solids. 3. Investigating chemical reactions and the mole concept. 4. The properties and behavior of acids and bases.",,
,,Atoms,,,,,1. Atomic models.,
,,Force,,,,,,
,,Energy,,,,,1. Energy and heat transfer. (Aligned with PE) 2. Waves and electromagnetic radiation.,
,Designs and constructs technological solutions to solve problems in their environment,Introduction to Design and Build Technological Solutions,,,,,,
,,Basics of Mechanical Engineering,,,,,,
SOCIAL STUDIES,Builds their identity,,,,,,,
,,,,,,,,
,Lives and participates democratically in the pursuit of the common good,,,,,,,
,Build historical interpretations,Time representations,"Timeline elements:events, time periods, BCE & CE.  ","Timeline elements:  events, time periods, BCE & CE.  ","Timeline elements:  events, time periods, BCE & CE.  ","Timeline elements:  events, time periods, BCE & CE.  ","Timeline elements:  events, time periods, BCE & CE.  ","Timeline elements:  events, time periods, BCE & CE.  "
,,Latin American,,,,,,
,,World History,Cradle of civilization: China and India,"Cradle of civilization: Mesopotamia, ",Cradle of civilization: Greece and Rome.,,,
,,Sources,Sources of information: facts vs. interpretations.,Sources of information: facts vs. interpretations.,Sources of information: facts vs. interpretations.,Sources of information: facts vs. interpretations.,Sources of information: facts vs. interpretations.,Sources of information: facts vs. interpretations.
,Manage space and environment responsibly,Cartography,,,,,,
,,Physical Geography,,,,,,
,,Human geography,,,,"Population distribution, growth and structure.","Urbanization and family size. Socio-environmental and territorial issues: causes, consequences and solutions. ",Economic activities classification.  
,,Political Geography,,,,,,
,Manage economic resources responsibly,Economic Fundamentals,,,,Scarcity and Opportunity cost influence on economic choices. ,  Marketing and social status.    ,"Economic agents: families, companies and state."
,,Market and Trade,,,,"Supply, demand and price elasticity",,
,,Entrepreneurship and Economics Growth,,,,,,Unemployment Inflation.
,,Public Policy and the Economy,,,,The role of money. ,,
,,Financial Security,,,,Investing in the stock market.   ,Investment strategies and financial assets. ,
PHYSICAL EDUCATION,Develops autonomously through their motor skills,Capacidades Fisicas,Principales funciones Sistema circulatorio,Principales funciones Sistema respiratorio,Principales funciones del sistema Cardiovascular,Principales funciones Aparato Locomotor,Principales funciones Muscular,Principales funciones del sistema neuromuscular
,,Habilidades motrices,Entrenamiento de la coordinación y el equilibrio,Desarrollo de la fuerza y la resistencia,Mejora de la agilidad y la velocidad,Actividades de acondicionamiento físico general,Desarrollo de habilidades específicas de deportes,Participación en juegos y actividades recreativas
,,Habilidades Cognitivas,Planificación y ejecución de entrenamientos,Anatomía y fisiología aplicadas al ejercicio,Resolución de problemas durante actividades físicas,Desarrollo de habilidades de liderazgo y trabajo en equipo,Estrategias de juego y tácticas deportivas,Evaluación y análisis de rendimiento
,,Habilidades perceptivas,Percepción del espacio y la dirección,Percepción visual,Percepción auditiva,Percepción táctil y kinestésica,Conciencia corporal,Integración sensorial
,Adopts a healthy lifestyle,Postura corporal,Análisis de la postura corporal,,,Conciencia postural durante el movimiento,,
,,Higiene,,Higiene personal,,,Manejo del sudor,
,,Alimentacion,Nutrición y alimentación equilibrada Proyecto G7,,Nutrición y alimentación equilibrada,,,Hidratación adecuada
,Interacts through socio-motor skills,Habilidaesdes Sociomotrices,Trabajo en equipo,,Empatía y respeto,,Autoconocimiento y autocontrol,
,,Estrategias de juego,,Conocimiento de las reglas y normativas de juego,,Comunicación y coordinación en equipo,,Desarrollo de la autoestima y la confianza
DRAMA,Appreciates critically different artistic and cultural creations.,,"Medieval theatre (mystery, miracle, morality)","Medieval theatre (mystery, miracle, morality)",Noh theatre,Kabuki theatre,"Commedia dell'arte (lazzi, characters)",Commedia dell'arte today
,Creates projects through artistic media.,,"Creating a scene based on medieval theatre (theme, costume design and language)","Creating a scene based on medieval theatre (theme, costume design and language)",Experimenting with diverse forms of cultural expression,Creating a performance based on a specific cultural context,Performing as Commedia dell'arte characters,Adapting Commedia dell'arte as a contemporary piece
GLOBAL PERSPECTIVES,Build historical representations,Latin American,,,,,,
,,World History,Language and communication,"Tradition, culture and identity",Belief systems,Changing communities,Family,Globalisation
,,Sources,,,,,,
,Manage space and environment responsibly,Human geography,,,,,,
,,Political Geography,,,,,,
ICT,"Manages projects of economic and social entrepreneurship Creates value propositions
",Creativity and Innovation,Exploring user needs through interviews. ,"introduction to video editing using iMovie, introduction to graphic design using Canva.",,,,
,,Computing and Programming,,,,,,
,,Data and Analysis,Money and budgeting.,,"Creating more advanced visualizations, understanding data analysis techniques and tools.",,,
,,Digital Citizenship,Law of supply and demand.,,,,,
,Functions within virtual environments created by ICTs,"Computer science fundamentals
","Exploring the iPad: Responsible and Safe Use of Technology
",,,"Applying problem-solving skills to develop interactive projects and games.
",,
,,"Computer systems
",,"	
 Intermediate word processing using Google Docs, intermediate spreadsheet skills using Google Sheets, intermediate presentation skills using Google Slides,","Building on algorithm development skills in coding and programming, focusing on more complex algorithms in Hopscotch.",,,
,,Data and Analysis,,,,,"Extracting complex patterns from data, making inferences, and exploring causal relationships.",
,,Computing and Programming,,,"Advanced coding using text-based languages, including resources from Code.org.
","Understanding more complex algorithms, including sequencing and decision-making.
Exploring the use of arrays for data storage in Arduino.",,
,Manages their learning autonomously,Cybersecurity,"Exploring the iPad: Responsible and Safe Use of Technology
",,,,,Using the game to reinforce lessons on recognizing and avoiding cyberbullying and understanding online privacy.
,,"Emerging Technologies:

",,,,," 
Exploring advanced programming and app development.
Understanding emerging technologies such as artificial intelligence (AI) and their implications.",
FRANÇAIS,Il communique oralement en français,Compréhension de l'oral,Des commentaires sur des vêtements,L'heure,Des aliments ,Sa vie quotidienne,L'identité de quelqu'un,Les émotions et les sentiments
,,,La cause,Des tâches quotidiennes,Ses repas,Description physique d'une personne ou d'un animal,La nationalité et le pays,Un itinéraire
,Il lit divers types de textes écrits en français,Compréhension des écrits ,"Des noms familiers, des mots ainsi que des phrases très simples",Des textes descriptifs,Des questionnaires,Des idées principales,Des fiches ou des formulaires,Des plans
,,,,,,,,
,Il rédige divers types de textes en français,Production écrite,Des adjectifs de description,Expression: Il est ....heure.,Les articles partitifs,Les verbes pronominaux,Information personnelles,Avoir mal au / à la / à  l' / aux
,,,Pourquoi...? / Parce que...,Le verbe FAIRE,Le verbe PRENDRE,Des adjectifs de description,Des villes et pays,Aller au / à la / à l'  / aux
MUSIC,Appreciates critically different artistic and cultural creations.,Music history,"History of music and their main instrument
Understading the rythm, the pulse, the silence, the accents in time and rythmic figures
Structure of a modern popular song 
Analisys of popular songs with a very defined style and structure
Diferences between a song with a CHORUS and a PROVERB VERSE
Understanding the differences between the parts of a song and its elements
Auditive discrimination of various music instruments by their timber or visual appearence ","History of music and their main instrument
Auditory recognition of the most popular chord progressions
Asociation of popular chord progressions with feelings or emotions
Rythmic reading withe diverse music figures
Understanding the differences between the parts of a song and its elements
Elements of the structure of a song
Auditive distrimination of various music instruments by their timber or visual appearence
Understands the structure, arrangement, and instrumentation contrasts.","History of music and their main instrument
Auditory recognition of the most popular weird chord progressions 
Melodic and rythmic motifs 
One-note melodies
Identifies the different combinations of melody patterns
Identifies the different ways to link the different parts of a popular song(riffs, fills, transitions)
Understands the structure, arrangement, and instrumentation contrasts.","Auditory recognition of all the chord progressions 
Listening and describing the type of melodies and motifs a song has
Modifying some chord progressions 
Analysis of pop songs with non-common structures
Understands the use of counting bars on the different parts of a song
Auditory recognition of layers of instruments or sounds
Introduction to electronic/modern pop music and DAW's","Understands and chooses the different options of chord progressions to do songwritting and music composition
Listening and describing the type of melodies and motifs a song has
Explores and modifies a chord progressions to fit within an specific songwritting style
Analysis of a popular beat with a defined structure
Auditory recognition of layers of instruments and fills on the different sections of a song
Understands to the basic elements of an urban/electronic beat in a DAW","Introduction to ""foley"" music
Asociates sounds to an specific style of foley and music in movie scenes
Listening and describing the type of sounds and textures a foley has
Explores and understands why an audio fits or doesn't within an specific ""short"" or ""movie scene""
Understands the contrasts between the different ways a songwritter or film composer has to recreate diverse type of movies, characters or scenes
Appreciates critically a movie soundtrack and a popular song"
